Mass Spring Dampener Position Data - Oct.31.2023. Oct 31, 2023 1:41 PM
Time (s)	Distance (cm)	Dist Error (cm)
5.980	18.743	0.239
5.990	18.902	0.239
6.000	19.049	0.239
6.010	19.268	0.239
6.020	19.497	0.239
6.030	19.746	0.239
6.040	20.043	0.239
6.050	20.349	0.239
6.060	20.655	0.239
6.070	21.008	0.239
6.080	21.377	0.239
6.090	21.743	0.239
6.100	22.127	0.239
6.110	22.557	0.239
6.120	22.965	0.239
6.130	23.374	0.239
6.140	23.783	0.239
6.150	24.187	0.239
6.160	24.584	0.239
6.170	24.949	0.239
6.180	25.324	0.239
6.190	25.681	0.239
6.200	26.021	0.239
6.210	26.326	0.239
6.220	26.623	0.239
6.230	26.895	0.239
6.240	27.136	0.239
6.250	27.351	0.239
6.260	27.532	0.239
6.270	27.683	0.239
6.280	27.799	0.239
6.290	27.881	0.239
6.300	27.929	0.239
6.310	27.921	0.239
6.320	27.895	0.239
6.330	27.835	0.239
6.340	27.741	0.239
6.350	27.612	0.239
6.360	27.449	0.239
6.370	27.274	0.239
6.380	27.050	0.239
6.390	26.792	0.239
6.400	26.513	0.239
6.410	26.213	0.239
6.420	25.886	0.239
6.430	25.564	0.239
6.440	25.203	0.239
6.450	24.829	0.239
6.460	24.443	0.239
6.470	24.043	0.239
6.480	23.640	0.239
6.490	23.232	0.239
6.500	22.802	0.239
6.510	22.381	0.239
6.520	22.059	0.239
6.530	21.681	0.239
6.540	21.298	0.239
6.550	20.938	0.239
6.560	20.585	0.239
6.570	20.271	0.239
6.580	19.975	0.239
6.590	19.683	0.239
6.600	19.426	0.239
6.610	19.241	0.239
6.620	19.018	0.239
6.630	18.911	0.239
6.640	18.765	0.239
6.650	18.671	0.239
6.660	18.640	0.239
6.670	18.632	0.239
6.680	18.646	0.239
6.690	18.706	0.239
6.700	18.844	0.239
6.710	18.952	0.239
6.720	19.107	0.239
6.730	19.318	0.239
6.740	19.563	0.239
6.750	19.779	0.239
6.760	20.067	0.239
6.770	20.386	0.239
6.780	20.708	0.239
6.790	21.044	0.239
6.800	21.402	0.239
6.810	21.771	0.239
6.820	22.172	0.239
6.830	22.593	0.239
6.840	22.998	0.239
6.850	23.385	0.239
6.860	23.794	0.239
6.870	24.190	0.239
6.880	24.603	0.239
6.890	24.986	0.239
6.900	25.356	0.239
6.910	25.687	0.239
6.920	26.023	0.239
6.930	26.320	0.239
6.940	26.613	0.239
6.950	26.875	0.239
6.960	27.112	0.239
6.970	27.323	0.239
6.980	27.500	0.239
6.990	27.634	0.239
7.000	27.746	0.239
7.010	27.824	0.239
7.020	27.867	0.239
7.030	27.876	0.239
7.040	27.850	0.239
7.050	27.790	0.239
7.060	27.692	0.239
7.070	27.563	0.239
7.080	27.404	0.239
7.090	27.211	0.239
7.100	26.988	0.239
7.110	26.739	0.239
7.120	26.460	0.239
7.130	26.176	0.239
7.140	25.854	0.239
7.150	25.511	0.239
7.160	25.150	0.239
7.170	24.776	0.239
7.180	24.415	0.239
7.190	24.020	0.239
7.200	23.620	0.239
7.210	23.221	0.239
7.220	22.821	0.239
7.230	22.405	0.239
7.240	22.035	0.239
7.250	21.653	0.239
7.260	21.283	0.239
7.270	20.931	0.239
7.280	20.596	0.239
7.290	20.308	0.239
7.300	20.016	0.239
7.310	19.750	0.239
7.320	19.505	0.239
7.330	19.291	0.239
7.340	19.085	0.239
7.350	18.964	0.239
7.360	18.849	0.239
7.370	18.733	0.239
7.380	18.686	0.239
7.390	18.686	0.239
7.400	18.699	0.239
7.410	18.751	0.239
7.420	18.881	0.239
7.430	18.997	0.239
7.440	19.152	0.239
7.450	19.355	0.239
7.460	19.583	0.239
7.470	19.802	0.239
7.480	20.082	0.239
7.490	20.422	0.239
7.500	20.750	0.239
7.510	21.046	0.239
7.520	21.386	0.239
7.530	21.748	0.239
7.540	22.152	0.239
7.550	22.574	0.239
7.560	22.974	0.239
7.570	23.375	0.239
7.580	23.775	0.239
7.590	24.166	0.239
7.600	24.562	0.239
7.610	24.941	0.239
7.620	25.285	0.239
7.630	25.638	0.239
7.640	25.974	0.239
7.650	26.288	0.239
7.660	26.559	0.239
7.670	26.822	0.239
7.680	27.063	0.239
7.690	27.274	0.239
7.700	27.455	0.239
7.710	27.602	0.239
