Motion Sensor Data File Oct 31, 2023 3:56 PM
Time (s)	Velocity (cm/s)
10.320	0.043
10.330	0.043
10.340	0.473
10.350	0.043
10.360	0.043
10.370	0.043
10.380	-1.247
10.390	0.000
10.400	0.043
10.410	0.043
10.420	0.043
10.430	0.043
10.440	-0.387
10.450	0.043
10.460	0.000
10.470	0.043
10.480	0.043
10.490	0.043
10.500	0.043
10.510	-0.387
10.520	0.043
10.530	0.430
10.540	0.043
10.550	0.043
10.560	0.043
10.570	0.043
10.580	0.043
10.590	0.043
10.600	0.473
10.610	-0.430
10.620	0.473
10.630	0.043
10.640	0.043
10.650	0.043
10.660	0.043
10.670	0.043
10.680	0.000
10.690	0.043
10.700	-0.387
10.710	0.043
10.720	-1.247
10.730	0.043
10.740	-0.387
10.750	0.000
10.760	0.043
10.770	0.043
10.780	0.043
10.790	0.043
10.800	0.473
10.810	0.043
10.820	0.043
10.830	0.000
10.840	0.043
10.850	0.043
10.860	0.043
10.870	0.043
10.880	0.473
10.890	0.043
10.900	-0.430
10.910	0.473
10.920	0.043
10.930	-0.387
10.940	0.043
10.950	0.043
10.960	0.043
10.970	0.000
10.980	0.043
10.990	0.043
11.000	-0.387
11.010	0.043
11.020	0.043
11.030	0.473
11.040	0.043
11.050	0.000
11.060	0.043
11.070	-1.247
11.080	0.043
11.090	0.043
11.100	0.473
11.110	0.043
11.120	0.000
11.130	0.043
11.140	0.043
11.150	0.043
11.160	0.043
11.170	0.043
11.180	0.043
11.190	0.000
11.200	0.043
11.210	-0.387
11.220	0.043
11.230	0.043
11.240	0.043
11.250	-0.387
11.260	0.043
11.270	0.000
11.280	0.043
11.290	0.043
11.300	0.043
11.310	0.043
11.320	0.043
11.330	0.473
11.340	-0.430
11.350	0.473
11.360	0.043
11.370	0.043
11.380	0.043
11.390	0.473
11.400	0.043
11.410	-0.430
11.420	-1.247
11.430	0.473
11.440	-0.387
11.450	0.043
11.460	0.043
11.470	0.043
11.480	0.043
11.490	0.000
11.500	-0.387
11.510	0.043
11.520	0.043
11.530	0.043
11.540	0.043
11.550	0.043
11.560	0.000
11.570	0.043
11.580	0.043
11.590	0.043
11.600	0.473
11.610	-0.387
11.620	0.473
11.630	0.000
11.640	0.043
11.650	0.043
11.660	0.043
11.670	0.043
11.680	0.043
11.690	0.043
11.700	0.043
11.710	0.430
11.720	-0.387
11.730	0.043
11.740	0.043
11.750	0.043
11.760	0.043
11.770	-1.677
11.780	0.000
11.790	0.043
11.800	0.043
11.810	0.043
11.820	0.043
11.830	0.043
11.840	0.043
11.850	0.430
11.860	0.043
11.870	0.043
11.880	0.043
11.890	0.043
11.900	0.043
11.910	0.473
11.920	-0.387
11.930	0.430
11.940	0.043
11.950	0.043
11.960	0.043
11.970	0.043
11.980	0.043
11.990	0.043
12.000	-0.430
12.010	0.043
12.020	0.043
12.030	0.043
12.040	0.043
12.050	0.043
12.060	-0.387
12.070	0.000
12.080	0.473
12.090	0.043
12.100	0.043
12.110	-1.247
12.120	0.043
12.130	0.043
12.140	0.043
12.150	0.000
12.160	0.043
12.170	0.043
12.180	0.043
12.190	0.043
12.200	0.043
12.210	0.043
12.220	0.000
12.230	0.043
12.240	-0.387
12.250	0.473
12.260	-0.387
12.270	0.473
12.280	-0.387
12.290	0.000
12.300	0.043
12.310	0.043
12.320	0.043
12.330	0.043
12.340	0.043
12.350	0.043
12.360	0.043
12.370	0.000
12.380	0.043
12.390	0.473
12.400	0.043
12.410	0.043
12.420	0.043
12.430	0.043
12.440	0.000
12.450	0.043
12.460	-1.247
12.470	0.043
12.480	0.043
12.490	0.043
12.500	-0.387
12.510	0.430
12.520	-0.387
12.530	0.043
12.540	0.043
12.550	0.043
12.560	0.043
12.570	0.043
12.580	0.043
12.590	0.000
12.600	0.043
12.610	0.043
12.620	0.043
12.630	0.043
12.640	0.043
12.650	0.043
12.660	0.000
12.670	0.473
12.680	0.043
12.690	0.043
12.700	0.043
12.710	0.043
12.720	0.043
12.730	0.000
12.740	0.043
12.750	0.043
12.760	0.043
12.770	0.043
12.780	0.043
12.790	-0.387
12.800	0.043
12.810	-1.290
12.820	0.043
12.830	0.043
12.840	0.043
12.850	0.473
12.860	0.043
12.870	0.043
12.880	0.000
12.890	0.043
12.900	0.043
12.910	0.043
12.920	0.043
12.930	0.043
12.940	0.043
12.950	0.000
12.960	0.043
12.970	0.043
12.980	0.043
12.990	0.043
13.000	0.043
13.010	0.043
13.020	0.000
13.030	-0.387
13.040	0.043
13.050	0.043
13.060	0.043
13.070	0.043
13.080	0.043
13.090	0.043
13.100	0.000
13.110	0.043
13.120	0.473
13.130	0.043
13.140	0.043
13.150	0.043
13.160	-1.247
13.170	0.430
13.180	-0.387
13.190	0.043
13.200	0.473
13.210	0.043
13.220	0.043
13.230	0.043
13.240	-0.430
13.250	0.043
13.260	0.043
13.270	0.043
13.280	0.043
13.290	0.043
13.300	-0.387
13.310	0.473
13.320	-0.430
13.330	0.043
13.340	0.043
13.350	0.043
13.360	0.043
13.370	0.043
13.380	0.043
13.390	0.000
13.400	0.043
13.410	0.043
13.420	0.473
13.430	0.043
13.440	0.043
13.450	0.043
13.460	0.000
13.470	0.043
13.480	0.043
13.490	0.043
13.500	-1.247
13.510	0.043
13.520	0.043
13.530	0.043
13.540	0.000
13.550	-0.387
13.560	0.043
13.570	0.043
13.580	0.043
13.590	-0.387
13.600	0.043
13.610	0.430
13.620	-0.387
13.630	0.473
13.640	0.043
13.650	0.043
13.660	0.043
13.670	0.043
13.680	0.000
13.690	0.043
13.700	0.473
13.710	-0.387
13.720	0.473
13.730	0.043
13.740	0.043
13.750	0.000
13.760	0.043
13.770	-0.387
13.780	0.473
13.790	-0.387
13.800	0.043
13.810	0.043
13.820	0.043
13.830	0.000
13.840	0.043
13.850	-1.247
13.860	0.043
13.870	-0.387
13.880	0.473
13.890	0.043
13.900	0.000
13.910	0.043
13.920	0.043
13.930	0.043
13.940	0.043
13.950	0.043
13.960	0.043
13.970	0.430
13.980	0.043
13.990	0.043
14.000	0.043
14.010	0.043
14.020	0.043
14.030	-0.387
14.040	0.043
14.050	0.000
14.060	0.043
14.070	0.043
14.080	0.043
14.090	0.043
14.100	0.043
14.110	0.043
14.120	0.000
14.130	-0.387
14.140	0.473
14.150	0.043
14.160	0.043
14.170	0.043
14.180	0.043
14.190	0.000
14.200	-1.247
14.210	0.043
14.220	0.043
14.230	0.043
14.240	0.473
14.250	0.043
14.260	0.000
14.270	0.043
14.280	0.043
14.290	0.043
14.300	0.043
14.310	0.043
14.320	-0.387
14.330	0.043
14.340	0.000
14.350	0.043
14.360	0.043
14.370	0.043
14.380	-0.387
14.390	0.043
14.400	0.043
14.410	0.000
14.420	0.043
14.430	0.473
14.440	0.043
14.450	0.043
14.460	0.043
14.470	0.043
14.480	0.000
14.490	0.043
14.500	0.473
14.510	0.043
14.520	0.043
14.530	-0.387
14.540	0.043
14.550	-1.247
14.560	0.000
14.570	0.043
14.580	0.043
14.590	-0.387
14.600	0.043
14.610	0.043
14.620	0.043
14.630	0.000
14.640	0.043
14.650	0.043
14.660	0.043
14.670	0.043
14.680	0.043
14.690	0.043
14.700	0.000
14.710	0.043
14.720	0.043
14.730	0.473
14.740	0.043
14.750	0.043
14.760	0.043
14.770	0.000
14.780	0.043
14.790	0.043
14.800	0.043
14.810	0.043
14.820	0.043
14.830	0.043
14.840	0.043
14.850	-0.430
14.860	0.043
14.870	0.043
14.880	0.043
14.890	0.043
14.900	-1.247
14.910	0.043
14.920	0.000
14.930	-0.387
14.940	0.473
14.950	0.043
14.960	0.043
14.970	0.043
14.980	0.043
14.990	0.000
15.000	0.043
15.010	0.473
15.020	-0.387
15.030	0.473
15.040	0.043
15.050	0.043
15.060	0.000
15.070	-0.387
15.080	0.043
15.090	0.043
15.100	0.043
15.110	-0.387
15.120	0.043
15.130	0.043
15.140	0.000
15.150	0.043
15.160	0.043
15.170	0.043
15.180	0.043
15.190	0.043
15.200	0.473
15.210	0.000
15.220	0.043
15.230	0.043
15.240	-1.247
15.250	0.043
15.260	0.043
15.270	0.043
15.280	0.430
15.290	0.043
15.300	0.043
15.310	0.043
15.320	0.043
15.330	0.043
15.340	-0.387
15.350	0.000
15.360	0.043
15.370	0.043
15.380	0.043
15.390	-0.387
15.400	0.043
15.410	0.043
15.420	0.000
15.430	0.043
15.440	0.043
15.450	0.043
15.460	0.473
15.470	0.043
15.480	0.043
15.490	0.043
15.500	0.000
15.510	0.043
15.520	0.473
15.530	0.043
15.540	0.043
15.550	0.043
15.560	0.043
15.570	0.000
15.580	-0.387
15.590	-1.247
15.600	0.043
15.610	0.043
15.620	0.043
15.630	0.043
15.640	0.000
15.650	0.043
15.660	0.043
15.670	0.043
15.680	0.043
15.690	0.043
15.700	0.043
15.710	0.000
15.720	0.043
15.730	0.043
15.740	0.043
15.750	0.043
15.760	0.043
15.770	0.043
15.780	0.473
15.790	0.000
15.800	0.043
15.810	0.043
15.820	0.043
15.830	0.043
15.840	0.043
15.850	0.043
15.860	0.000
15.870	-0.387
15.880	0.043
15.890	0.043
15.900	0.043
15.910	0.043
15.920	0.043
15.930	0.000
15.940	-1.247
15.950	0.043
15.960	0.043
15.970	0.043
15.980	0.043
15.990	0.043
16.000	0.430
16.010	0.043
16.020	0.043
16.030	0.043
16.040	0.043
16.050	0.043
16.060	0.473
16.070	-0.430
16.080	0.043
16.090	0.043
16.100	0.043
16.110	0.043
16.120	-0.387
16.130	0.043
16.140	0.000
16.150	0.043
16.160	0.043
16.170	0.043
16.180	0.043
16.190	0.043
16.200	0.043
16.210	0.043
16.220	0.000
16.230	0.473
16.240	0.043
16.250	0.043
16.260	0.043
16.270	0.043
16.280	0.473
16.290	-1.290
16.300	0.043
16.310	0.043
16.320	0.043
16.330	0.043
16.340	0.473
16.350	0.043
16.360	-0.430
16.370	0.043
16.380	0.043
16.390	-0.387
16.400	0.043
16.410	0.043
16.420	0.043
16.430	0.000
16.440	0.043
16.450	0.043
16.460	0.043
16.470	0.043
16.480	0.043
16.490	0.043
16.500	0.000
16.510	0.043
16.520	0.043
16.530	0.043
16.540	0.473
16.550	0.043
16.560	0.043
16.570	0.043
16.580	0.000
16.590	0.043
16.600	0.043
16.610	0.043
16.620	0.043
16.630	0.043
16.640	-1.247
16.650	0.000
16.660	0.043
16.670	-0.387
16.680	0.043
16.690	0.043
16.700	0.043
16.710	0.043
16.720	0.000
16.730	0.043
16.740	0.043
16.750	0.043
16.760	0.473
16.770	0.043
16.780	0.043
16.790	0.000
16.800	0.473
16.810	0.043
16.820	0.043
16.830	0.043
16.840	0.043
16.850	0.043
16.860	0.000
16.870	-0.387
16.880	0.043
16.890	0.043
16.900	0.043
16.910	0.043
16.920	-0.387
16.930	0.000
16.940	0.043
16.950	0.043
16.960	0.043
16.970	0.043
16.980	0.043
16.990	-1.247
17.000	0.000
17.010	0.043
17.020	0.043
