Position Uncertainty Oct 31, 2023 2:36 PM
Time (s)	Distance (cm)	Dist Error (cm)
4.930	15.393	0.239
4.940	15.394	0.239
4.950	15.394	0.239
4.960	15.394	0.239
4.970	15.394	0.239
4.980	15.395	0.239
4.990	15.395	0.239
5.000	15.396	0.239
5.010	15.396	0.239
5.020	15.397	0.239
5.030	15.384	0.239
5.040	15.385	0.239
5.050	15.385	0.239
5.060	15.385	0.239
5.070	15.386	0.239
5.080	15.386	0.239
5.090	15.386	0.239
5.100	15.387	0.239
5.110	15.387	0.239
5.120	15.388	0.239
5.130	15.388	0.239
5.140	15.388	0.239
5.150	15.389	0.239
5.160	15.389	0.239
5.170	15.390	0.239
5.180	15.390	0.239
5.190	15.391	0.239
5.200	15.391	0.239
5.210	15.391	0.239
5.220	15.391	0.239
5.230	15.392	0.239
5.240	15.392	0.239
5.250	15.393	0.239
5.260	15.393	0.239
5.270	15.394	0.239
5.280	15.394	0.239
5.290	15.394	0.239
5.300	15.395	0.239
5.310	15.395	0.239
5.320	15.395	0.239
5.330	15.396	0.239
5.340	15.396	0.239
5.350	15.384	0.239
5.360	15.384	0.239
5.370	15.385	0.239
5.380	15.385	0.239
5.390	15.385	0.239
5.400	15.386	0.239
5.410	15.386	0.239
5.420	15.387	0.239
5.430	15.387	0.239
5.440	15.388	0.239
5.450	15.388	0.239
5.460	15.388	0.239
5.470	15.388	0.239
5.480	15.389	0.239
5.490	15.389	0.239
5.500	15.390	0.239
5.510	15.390	0.239
5.520	15.391	0.239
5.530	15.391	0.239
5.540	15.391	0.239
5.550	15.392	0.239
5.560	15.392	0.239
5.570	15.392	0.239
5.580	15.393	0.239
5.590	15.393	0.239
5.600	15.394	0.239
5.610	15.394	0.239
5.620	15.394	0.239
5.630	15.395	0.239
5.640	15.395	0.239
5.650	15.396	0.239
5.660	15.396	0.239
5.670	15.397	0.239
5.680	15.384	0.239
5.690	15.384	0.239
5.700	15.385	0.239
5.710	15.385	0.239
5.720	15.385	0.239
5.730	15.386	0.239
5.740	15.386	0.239
5.750	15.387	0.239
5.760	15.387	0.239
5.770	15.388	0.239
5.780	15.388	0.239
5.790	15.388	0.239
5.800	15.389	0.239
5.810	15.389	0.239
5.820	15.389	0.239
5.830	15.390	0.239
5.840	15.390	0.239
5.850	15.391	0.239
5.860	15.391	0.239
5.870	15.391	0.239
5.880	15.392	0.239
5.890	15.392	0.239
5.900	15.393	0.239
5.910	15.393	0.239
5.920	15.394	0.239
5.930	15.394	0.239
5.940	15.394	0.239
5.950	15.394	0.239
5.960	15.395	0.239
5.970	15.395	0.239
5.980	15.396	0.239
5.990	15.396	0.239
6.000	15.397	0.239
6.010	15.384	0.239
6.020	15.385	0.239
6.030	15.385	0.239
6.040	15.385	0.239
6.050	15.385	0.239
6.060	15.386	0.239
6.070	15.386	0.239
6.080	15.387	0.239
6.090	15.387	0.239
6.100	15.388	0.239
6.110	15.388	0.239
6.120	15.388	0.239
6.130	15.389	0.239
6.140	15.389	0.239
6.150	15.390	0.239
6.160	15.390	0.239
6.170	15.390	0.239
6.180	15.391	0.239
6.190	15.391	0.239
6.200	15.391	0.239
6.210	15.392	0.239
6.220	15.392	0.239
6.230	15.393	0.239
6.240	15.393	0.239
6.250	15.394	0.239
6.260	15.394	0.239
6.270	15.394	0.239
6.280	15.395	0.239
6.290	15.395	0.239
6.300	15.395	0.239
6.310	15.396	0.239
6.320	15.396	0.239
6.330	15.384	0.239
6.340	15.384	0.239
6.350	15.385	0.239
6.360	15.385	0.239
6.370	15.385	0.239
6.380	15.386	0.239
6.390	15.386	0.239
6.400	15.387	0.239
6.410	15.387	0.239
6.420	15.387	0.239
6.430	15.388	0.239
6.440	15.388	0.239
6.450	15.388	0.239
6.460	15.389	0.239
6.470	15.389	0.239
6.480	15.390	0.239
6.490	15.390	0.239
6.500	15.391	0.239
6.510	15.387	0.239
6.520	15.391	0.239
6.530	15.391	0.239
6.540	15.388	0.239
6.550	15.388	0.239
6.560	15.388	0.239
6.570	15.389	0.239
6.580	15.389	0.239
6.590	15.390	0.239
6.600	15.390	0.239
6.610	15.391	0.239
6.620	15.391	0.239
6.630	15.391	0.239
6.640	15.392	0.239
6.650	15.392	0.239
6.660	15.379	0.239
6.670	15.380	0.239
6.680	15.385	0.239
6.690	15.385	0.239
6.700	15.385	0.239
6.710	15.382	0.239
6.720	15.386	0.239
6.730	15.387	0.239
6.740	15.387	0.239
6.750	15.388	0.239
6.760	15.388	0.239
6.770	15.388	0.239
6.780	15.388	0.239
6.790	15.389	0.239
6.800	15.389	0.239
6.810	15.390	0.239
6.820	15.390	0.239
6.830	15.391	0.239
6.840	15.391	0.239
6.850	15.391	0.239
6.860	15.392	0.239
6.870	15.392	0.239
6.880	15.393	0.239
6.890	15.388	0.239
6.900	15.393	0.239
6.910	15.394	0.239
6.920	15.394	0.239
6.930	15.394	0.239
6.940	15.395	0.239
6.950	15.395	0.239
6.960	15.396	0.239
6.970	15.396	0.239
6.980	15.392	0.239
6.990	15.384	0.239
7.000	15.385	0.239
7.010	15.385	0.239
7.020	15.381	0.239
7.030	15.381	0.239
7.040	15.386	0.239
7.050	15.386	0.239
7.060	15.387	0.239
7.070	15.387	0.239
7.080	15.383	0.239
7.090	15.384	0.239
7.100	15.384	0.239
7.110	15.389	0.239
7.120	15.389	0.239
7.130	15.389	0.239
7.140	15.390	0.239
7.150	15.390	0.239
7.160	15.391	0.239
7.170	15.387	0.239
7.180	15.391	0.239
7.190	15.388	0.239
7.200	15.392	0.239
7.210	15.393	0.239
7.220	15.389	0.239
7.230	15.394	0.239
7.240	15.390	0.239
7.250	15.394	0.239
7.260	15.394	0.239
7.270	15.395	0.239
7.280	15.395	0.239
7.290	15.396	0.239
7.300	15.392	0.239
7.310	15.397	0.239
7.320	15.384	0.239
7.330	15.385	0.239
7.340	15.385	0.239
7.350	15.385	0.239
7.360	15.386	0.239
7.370	15.386	0.239
7.380	15.386	0.239
7.390	15.387	0.239
7.400	15.387	0.239
7.410	15.388	0.239
7.420	15.388	0.239
7.430	15.388	0.239
7.440	15.389	0.239
7.450	15.389	0.239
7.460	15.390	0.239
7.470	15.390	0.239
7.480	15.391	0.239
7.490	15.391	0.239
7.500	15.391	0.239
7.510	15.391	0.239
7.520	15.388	0.239
7.530	15.388	0.239
7.540	15.393	0.239
7.550	15.389	0.239
7.560	15.394	0.239
7.570	15.394	0.239
7.580	15.394	0.239
7.590	15.395	0.239
7.600	15.395	0.239
7.610	15.395	0.239
7.620	15.396	0.239
7.630	15.396	0.239
7.640	15.384	0.239
7.650	15.384	0.239
7.660	15.385	0.239
7.670	15.381	0.239
7.680	15.385	0.239
7.690	15.386	0.239
7.700	15.386	0.239
7.710	15.387	0.239
7.720	15.383	0.239
7.730	15.383	0.239
7.740	15.388	0.239
7.750	15.384	0.239
7.760	15.388	0.239
7.770	15.385	0.239
7.780	15.389	0.239
7.790	15.390	0.239
7.800	15.390	0.239
7.810	15.391	0.239
7.820	15.391	0.239
7.830	15.391	0.239
7.840	15.388	0.239
7.850	15.392	0.239
7.860	15.392	0.239
7.870	15.393	0.239
7.880	15.393	0.239
7.890	15.394	0.239
7.900	15.394	0.239
7.910	15.394	0.239
7.920	15.395	0.239
7.930	15.395	0.239
7.940	15.396	0.239
7.950	15.392	0.239
7.960	15.397	0.239
7.970	15.384	0.239
7.980	15.384	0.239
7.990	15.385	0.239
8.000	15.385	0.239
8.010	15.385	0.239
8.020	15.386	0.239
8.030	15.386	0.239
8.040	15.387	0.239
8.050	15.387	0.239
8.060	15.388	0.239
8.070	15.388	0.239
8.080	15.388	0.239
8.090	15.388	0.239
8.100	15.389	0.239
8.110	15.389	0.239
8.120	15.390	0.239
8.130	15.390	0.239
8.140	15.391	0.239
8.150	15.391	0.239
8.160	15.391	0.239
8.170	15.392	0.239
8.180	15.392	0.239
8.190	15.393	0.239
8.200	15.393	0.239
8.210	15.393	0.239
8.220	15.394	0.239
8.230	15.394	0.239
8.240	15.394	0.239
8.250	15.395	0.239
8.260	15.395	0.239
8.270	15.396	0.239
8.280	15.396	0.239
8.290	15.397	0.239
8.300	15.384	0.239
8.310	15.385	0.239
8.320	15.385	0.239
8.330	15.385	0.239
8.340	15.385	0.239
8.350	15.386	0.239
8.360	15.386	0.239
8.370	15.387	0.239
8.380	15.387	0.239
8.390	15.388	0.239
8.400	15.388	0.239
8.410	15.388	0.239
8.420	15.389	0.239
8.430	15.389	0.239
