Mass Spring Only Mass Position Data Oct 31, 2023 1:49 PM
Time (s)	Distance (cm)	Dist Error (cm)
5.900	20.430	0.239
5.910	20.563	0.239
5.920	20.740	0.239
5.930	20.926	0.239
5.940	21.153	0.239
5.950	21.390	0.239
5.960	21.649	0.239
5.970	21.933	0.239
5.980	22.234	0.239
5.990	22.557	0.239
6.000	22.893	0.239
6.010	23.233	0.239
6.020	23.577	0.239
6.030	23.930	0.239
6.040	24.275	0.239
6.050	24.619	0.239
6.060	24.959	0.239
6.070	25.290	0.239
6.080	25.613	0.239
6.090	25.923	0.239
6.100	26.216	0.239
6.110	26.492	0.239
6.120	26.746	0.239
6.130	26.982	0.239
6.140	27.185	0.239
6.150	27.370	0.239
6.160	27.517	0.239
6.170	27.642	0.239
6.180	27.729	0.239
6.190	27.789	0.239
6.200	27.819	0.239
6.210	27.820	0.239
6.220	27.786	0.239
6.230	27.722	0.239
6.240	27.627	0.239
6.250	27.499	0.239
6.260	27.349	0.239
6.270	27.164	0.239
6.280	26.963	0.239
6.290	26.713	0.239
6.300	26.460	0.239
6.310	26.181	0.239
6.320	25.889	0.239
6.330	25.584	0.239
6.340	25.258	0.239
6.350	24.927	0.239
6.360	24.588	0.239
6.370	24.240	0.239
6.380	23.892	0.239
6.390	23.549	0.239
6.400	23.205	0.239
6.410	22.866	0.239
6.420	22.539	0.239
6.430	22.226	0.239
6.440	21.930	0.239
6.450	21.650	0.239
6.460	21.388	0.239
6.470	21.144	0.239
6.480	20.925	0.239
6.490	20.740	0.239
6.500	20.569	0.239
6.510	20.436	0.239
6.520	20.324	0.239
6.530	20.247	0.239
6.540	20.201	0.239
6.550	20.184	0.239
6.560	20.197	0.239
6.570	20.244	0.239
6.580	20.327	0.239
6.590	20.439	0.239
6.600	20.568	0.239
6.610	20.741	0.239
6.620	20.930	0.239
6.630	21.137	0.239
6.640	21.382	0.239
6.650	21.645	0.239
6.660	21.925	0.239
6.670	22.226	0.239
6.680	22.541	0.239
6.690	22.868	0.239
6.700	23.203	0.239
6.710	23.543	0.239
6.720	23.892	0.239
6.730	24.237	0.239
6.740	24.581	0.239
6.750	24.921	0.239
6.760	25.256	0.239
6.770	25.575	0.239
6.780	25.885	0.239
6.790	26.178	0.239
6.800	26.458	0.239
6.810	26.712	0.239
6.820	26.944	0.239
6.830	27.151	0.239
6.840	27.336	0.239
6.850	27.492	0.239
6.860	27.617	0.239
6.870	27.712	0.239
6.880	27.781	0.239
6.890	27.815	0.239
6.900	27.816	0.239
6.910	27.786	0.239
6.920	27.726	0.239
